advertised_date,number_of_bedrooms,rent,floor_area,level,suburb,furnished,tenancy_preference,number_of_bathrooms,point_of_contact,secondary_address,building_number,street_name,street_suffix,prefix,first_name,last_name,gender,phone_number,email
2022-06-20,2,565.0,623,6 out of 7,sydney,unfurnished,family,2,contact agent,flat 25,9,dean break,fire track,nan,margaret,flores,u,(07) 3952 2562,gardneranne@example.com
2022-05-27,1,589.0,450,5 out of 8,sydney,furnished,family,2,contact agent,32/,32,yu corso,glen,mr.,michael,yang,m,03 4810 2528,priscillaroach@example.com
2022-06-16,2,613.0,650,3 out of 7,sydney,furnished,bachelors/family,2,contact agent,suite 442,38,kelly interchange,freeway,mr.,danny,kaufman,m,+61-8-1770-3720,christina62@example.com
2022-05-22,2,604.0,700,upper basement out of 22,sydney,unfurnished,bachelors/family,2,contact agent,flat 16,1,alisha expressway,square,mr.,willie,byrd,m,+61-457-969-076,reyesjames@example.net
2022-06-04,2,606.0,625,6 out of 14,sydney,semi-furnished,bachelors,2,contact agent,flat 99,40,sharon rue,round,dr.,amber,hall,f,03-3597-7816,owalker@example.net
2022-06-23,2,606.0,750,2 out of 8,sydney,unfurnished,family,2,contact agent,level 1,9,castillo roadside,chase,nan,sarah,stevens,u,+61 7 1651 4509,qlopez@example.org
2022-06-25,2,610.0,663,25 out of 43,sydney,unfurnished,bachelors/family,2,contact agent,flat 65,75,mccarthy lees,cross,ms.,caitlin,wolfe,f,0354178921,kgreen@example.org
2022-06-16,1,581.0,400,3 out of 4,sydney,semi-furnished,bachelors/family,1,contact owner,suite 975,45,catherine strip,copse,mrs.,nutcha,phusilarungrueng,f,+61.451.161.984,scott84@example.com
2022-05-24,1,587.0,425,3 out of 5,sydney,unfurnished,bachelors,1,contact agent,suite 566,18,harding crest,crossroad,nan,edwin,campbell,u,0463.186.604,usmith@example.com
2022-04-27,2,578.0,882,10 out of 22,sydney,unfurnished,bachelors,2,contact owner,4/,274,brad way,retreat,mr.,joshua,williams,m,+61-3-1442-0392,david54@example.com
2022-06-24,1,613.0,225,3 out of 6,sydney,unfurnished,bachelors,1,contact owner,unit 22,5,brian piazza,green,mr.,trevor,becker,m,0491.635.498,barbaragraham@example.net
2022-06-07,1,571.0,555,6 out of 7,sydney,unfurnished,bachelors,1,contact owner,level 6,68,morrison park,ridge,nan,rachel,khan,u,03-8234-4514,randallleonard@example.org
2022-06-24,2,587.0,1065,15 out of 15,sydney,furnished,bachelors/family,2,contact owner,apt. 095,7,kevin right of way,bridge,nan,kimberly,key,u,+61 3 4118 5285,sanchezsabrina@example.com
2022-05-26,2,587.0,500,1 out of 3,sydney,furnished,bachelors/family,1,contact owner,62/,26,amy dell,upper,miss,denise,williams,f,(02).0965.6856,taylorwilliam@example.org
2022-05-19,1,587.0,407,5 out of 23,sydney,unfurnished,bachelors/family,2,contact owner,suite 199,14,frazier right of way,motorway,nan,cindy,matthews,u,+61.8.2913.0214,gregorybeltran@example.org
2022-06-04,1,581.0,300,2 out of 12,sydney,semi-furnished,bachelors/family,1,contact agent,apt. 970,87,raven glade,driveway,dr.,lisa,smith,f,3789 5309,michele15@example.com
2022-06-16,1,606.0,415,15 out of 22,sydney,semi-furnished,bachelors/family,2,contact agent,unit 09,2,thompson quay,slope,mr.,james,nelson,m,0403.715.069,nallen@example.com
2022-06-25,1,582.0,450,3 out of 13,sydney,unfurnished,bachelors,2,contact agent,suite 574,10,james stairs,port,nan,lee,lawson,u,6563-9116,dpalmer@example.org
2022-06-23,3,610.0,850,8 out of 14,sydney,unfurnished,family,3,contact agent,suite 475,8,gabriel way,cruiseway,nan,wanda,kirk,u,(07).9402.7007,monicaware@example.org
2022-06-23,1,564.0,325,7 out of 16,sydney,unfurnished,family,1,contact agent,unit 45,30,fletcher trunkway,crossway,mr.,james,lozano,m,(02).5427.2282,jwhite@example.org
2022-05-22,2,614.0,725,upper basement out of 16,sydney,unfurnished,bachelors/family,2,contact agent,suite 657,60,daniel dip,river,nan,shane,soto,u,98251053,stephanie68@example.org
2022-05-19,2,574.0,600,18 out of 28,sydney,unfurnished,bachelors/family,2,contact owner,480/,94,jesse green,turn,nan,jaime,montgomery,u,0271498826,steinsarah@example.net
2022-05-17,1,572.0,385,6 out of 20,sydney,unfurnished,family,1,contact agent,suite 037,48,kimberly little,laneway,nan,veronica,fisher,u,(02).3055.3934,marco17@example.org
2022-06-12,1,572.0,410,2 out of 7,sydney,unfurnished,family,1,contact agent,367/,65,patterson centreway,track,nan,michael,serrano,u,07-5950-8254,ygross@example.com
2022-06-16,3,613.0,850,5 out of 7,sydney,unfurnished,family,3,contact agent,level 1,94,olsen parklands,circle,mrs.,brittany,rocha,f,+61-2-4958-0070,brownbrianna@example.com
2022-06-04,2,608.0,600,4 out of 8,sydney,furnished,family,2,contact agent,398/,95,paul strip,footway,nan,vincent,adams,u,+61-8-9310-1396,halllinda@example.com
2022-04-27,2,590.0,900,ground out of 4,sydney,semi-furnished,bachelors/family,3,contact owner,unit 79,577,alexander wynd,route,nan,john,moore,u,07 4477 7938,fmiles@example.org
2022-04-28,1,563.0,500,8 out of 10,sydney,semi-furnished,bachelors/family,2,contact owner,suite 752,9,harold reserve,gate,miss,erica,garcia,f,(02)55573426,ycarpenter@example.org
2022-06-20,1,610.0,480,5 out of 7,sydney,furnished,family,2,contact agent,005/,40,velez cross,rosebowl,nan,tiffany,duarte,u,0457 956 095,paul01@example.org
2022-04-27,1,574.0,270,15 out of 15,sydney,unfurnished,bachelors,2,contact owner,apt. 758,108,woodward bridge,formation,mr.,christopher,barr,m,1536-4759,camposaustin@example.net
2022-05-26,2,572.0,582,5 out of 8,sydney,furnished,family,2,contact owner,flat 64,234,henderson lower,end,nan,christopher,downs,u,+61 400 435 252,vsingleton@example.com
2022-06-04,1,582.0,428,12 out of 21,sydney,unfurnished,bachelors/family,1,contact agent,level 1,3,smith causeway,intersection,nan,ryan,klein,u,+61772271973,michelle78@example.com
2022-05-31,1,580.0,490,ground out of 8,sydney,unfurnished,bachelors/family,1,contact owner,level 8,1,karen park,promenade,mr.,albert,fletcher,m,47942005,diamond68@example.net
2022-05-13,2,594.0,710,12 out of 21,sydney,unfurnished,family,2,contact agent,5/,51,briana piazza,right of way,mr.,larry,trevino,m,+61.2.0338.9379,gdennis@example.org
2022-06-12,2,583.0,550,2 out of 7,sydney,furnished,family,2,contact agent,flat 00,1,dominguez crossing,crescent,nan,mx.,jared,u,5376-4421,juliepearson@example.com
2022-06-16,1,577.0,375,9 out of 20,sydney,unfurnished,bachelors/family,1,contact agent,8/,698,brooks corso,strip,mrs.,tammy,stephens,f,+61.436.020.399,lisarobertson@example.net
2022-04-29,1,579.0,229,5 out of 9,sydney,semi-furnished,bachelors/family,1,contact owner,apt. 617,3,rodriguez cross,cove,mr.,timothy,zuniga,m,0401-540-975,heather18@example.org
2022-06-26,1,594.0,560,2 out of 4,sydney,unfurnished,bachelors,2,contact agent,136/,0,molina tollway,thoroughfare,mrs.,alyssa,molina,f,+61.7.7698.5031,donnadavis@example.com
2022-06-16,1,574.0,450,2 out of 4,sydney,unfurnished,family,1,contact owner,814/,0,jennifer causeway,broadway,mr.,tyler,ferrell,m,0369089726,ithomas@example.com
2022-05-02,1,574.0,490,12 out of 20,sydney,unfurnished,bachelors/family,2,contact owner,suite 741,5,lisa port,footway,miss,taylor,ibarra,f,36423936,ebony09@example.org
2022-05-31,1,571.0,520,2 out of 3,sydney,semi-furnished,bachelors/family,1,contact owner,5/,2,sheila parklands,basin,dr.,jennifer,kennedy,f,7106.3167,bakervicki@example.com
2022-06-26,2,581.0,600,7 out of 7,sydney,furnished,family,2,contact agent,2/,0,doyle avenue,wade,nan,kayla,pollard,u,(08) 8996 9722,rhernandez@example.net
2022-06-04,1,600.0,500,7 out of 23,sydney,semi-furnished,bachelors/family,2,contact owner,flat 82,161,dale part,gate,nan,olivia,green,u,+61 2 4039 1515,marcus20@example.com
2022-06-03,1,576.0,160,2 out of 3,sydney,unfurnished,bachelors/family,1,contact owner,unit 69,61,george rise,laneway,mr.,kiaan,basak,m,95576635,moorebrandy@example.net
2022-06-02,1,605.0,585,3 out of 7,sydney,unfurnished,family,2,contact agent,apt. 335,71,robert parade,steps,miss,jasmine,may,f,+61.456.288.482,tiffany87@example.org
2022-06-10,1,587.0,350,2 out of 17,sydney,furnished,bachelors/family,1,contact owner,apt. 662,7,amber parkway,laneway,nan,david,bailey,u,+61 495 935 128,arielbarnes@example.org
2022-05-05,1,587.0,490,3 out of 7,sydney,semi-furnished,bachelors/family,2,contact owner,08/,75,michael court,wade,nan,vickie,hinton,u,03.3164.6605,james91@example.net
2022-06-10,1,582.0,225,6 out of 24,sydney,unfurnished,bachelors/family,1,contact owner,flat 53,594,danny triangle,mount,miss,tiffany,perez,f,65663687,ganderson@example.com
2022-05-27,1,578.0,300,3 out of 10,sydney,unfurnished,bachelors/family,1,contact owner,unit 44,71,neal meander,bridge,nan,angela,lutz,u,0798579419,corey46@example.com
2022-05-18,2,604.0,700,14 out of 23,sydney,unfurnished,bachelors/family,2,contact agent,apt. 580,26,edward break,gap,mr.,eddie,becker,m,08 9258 9854,gonzalesvanessa@example.net
2022-06-04,2,599.0,600,4 out of 7,sydney,unfurnished,bachelors,2,contact agent,suite 858,4,christopher link,formation,mr.,john,allen,m,(07)-0159-4438,lori95@example.net
2022-05-26,2,613.0,650,2 out of 12,sydney,unfurnished,bachelors/family,2,contact agent,822/,45,garcia pocket,quadrant,nan,christian,ferguson,u,9226 9832,jennifer15@example.org
2022-06-16,1,583.0,575,14 out of 14,sydney,unfurnished,bachelors/family,1,contact owner,457/,44,lewis nook,street,nan,eric,gonzalez,u,+61 8 9568 8333,donald81@example.net
2022-05-27,1,596.0,475,3 out of 4,sydney,furnished,bachelors/family,1,contact owner,89/,239,wallace roadway,lees,nan,matthew,gardner,u,8471-6647,justin65@example.com
2022-06-22,2,599.0,830,9 out of 21,sydney,semi-furnished,bachelors/family,2,contact agent,365/,5,thomas end,turn,dr.,adam,collins,m,+61.430.937.232,lcook@example.org
2022-05-13,1,585.0,420,5 out of 7,sydney,semi-furnished,bachelors/family,2,contact agent,suite 850,130,caldwell centre,thoroughfare,dr.,benjamin,myers,m,0486-690-201,ruizjennifer@example.net
2022-06-21,1,581.0,310,ground out of 7,sydney,unfurnished,bachelors,1,contact agent,2/,8,booth dale,gap,ms.,gugu,sigagu-mkhungo,f,4561.2953,smithwilliam@example.com
2022-06-23,1,574.0,275,3 out of 7,sydney,unfurnished,bachelors/family,1,contact owner,apt. 512,7,michael footway,highway,nan,charles,wise,u,49424532,susan95@example.org
2022-05-20,2,599.0,900,12 out of 25,sydney,semi-furnished,bachelors/family,2,contact agent,22/,204,natalie artery,dell,dr.,nicole,bailey,f,(07)-2634-5260,john54@example.com
2022-05-18,1,586.0,430,6 out of 7,sydney,furnished,bachelors/family,2,contact agent,7/,40,william centreway,landing,dr.,darshit,rattan,m,(02)90440828,barbara09@example.org
2022-06-17,2,596.0,680,5 out of 20,sydney,unfurnished,family,2,contact agent,level 1,1,mccormick wynd,frontage,dr.,lindsey,montgomery,f,07-2915-0614,vlowe@example.com
2022-05-25,2,586.0,600,5 out of 7,sydney,semi-furnished,bachelors,2,contact owner,suite 682,10,gregory extension,trunkway,miss,danielle,pham,f,02.4553.5151,angelavaughan@example.com
2022-05-27,1,587.0,475,11 out of 15,sydney,unfurnished,bachelors,2,contact agent,suite 386,9,griffin reach,steps,nan,marissa,lawrence,u,0734382424,hshelton@example.org
2022-05-18,1,588.0,650,1 out of 3,sydney,semi-furnished,bachelors/family,1,contact owner,unit 90,8,vaughn ramp,line,dr.,roger,robinson,m,+61.8.9934.4348,smithrobert@example.com
2022-06-01,2,590.0,600,18 out of 20,sydney,unfurnished,bachelors,2,contact agent,apt. 072,49,pamela expressway,service way,nan,derrick,gonzalez,u,0454-236-032,thompsonvirginia@example.net
2022-04-29,1,588.0,649,3 out of 3,sydney,unfurnished,bachelors/family,1,contact owner,2/,9,alexandria causeway,reserve,mrs.,tracy,hill,f,(07)89991433,kjones@example.net
2022-05-26,2,581.0,630,4 out of 22,sydney,unfurnished,family,2,contact agent,66/,6,gerald drive,copse,mrs.,megan,welch,f,+61.2.1077.7189,shortjoe@example.org
2022-05-28,2,583.0,670,4 out of 12,sydney,furnished,family,2,contact agent,91/,61,jones trunkway,gardens,dr.,edward,wise,m,0450 448 026,wagnercory@example.com
2022-04-28,1,581.0,265,6 out of 7,sydney,unfurnished,bachelors/family,1,contact owner,25/,137,kristina intersection,brae,nan,stephanie,grant,u,58460856,rodgersjulian@example.org
2022-06-02,1,564.0,422,9 out of 15,sydney,semi-furnished,family,2,contact agent,apt. 856,72,gray crossing,courtyard,dr.,anthony,rodriguez,m,+61883893814,joshua92@example.net
2022-05-08,1,579.0,300,3 out of 4,sydney,unfurnished,bachelors,1,contact owner,flat 48,3,michael run,trail,nan,lori,jones,u,7755-7053,william58@example.org
2022-06-23,2,594.0,720,5 out of 14,sydney,semi-furnished,bachelors/family,2,contact agent,unit 82,376,hill street,formation,nan,john,stark,u,0409-806-851,milesjean@example.org
2022-06-23,1,583.0,377,3 out of 23,sydney,unfurnished,bachelors/family,2,contact owner,apt. 770,8,hernandez flat,circle,mrs.,julie,gonzales,f,+61.8.0610.0148,whitecarol@example.com
2022-06-04,2,600.0,650,5 out of 6,sydney,semi-furnished,family,2,contact agent,flat 29,0,gregory rotary,fairway,nan,elizabeth,crawford,u,7630.2425,stonedenise@example.com
2022-05-31,2,615.0,650,5 out of 7,sydney,unfurnished,bachelors/family,2,contact agent,level 2,3,olson garden,strip,mr.,eric,long,m,1991 8771,kayla58@example.com
2022-06-08,2,595.0,700,2 out of 8,sydney,semi-furnished,bachelors/family,2,contact owner,flat 83,520,john quay,range,mrs.,michelle,jones,f,08 7708 2929,michelle52@example.net
2022-04-28,1,601.0,540,2 out of 3,sydney,unfurnished,bachelors/family,2,contact owner,95/,43,williams siding,tor,nan,tonya,short,u,(07)71595217,kennethbowen@example.org
2022-04-28,1,599.0,560,3 out of 7,sydney,semi-furnished,bachelors,2,contact owner,76/,226,john towers,beach,mr.,dennis,cochran,m,0219589878,thompsonjustin@example.org
2022-06-02,1,613.0,500,2 out of 3,sydney,unfurnished,bachelors,1,contact agent,unit 31,5,choi centreway,corner,mr.,joseph,thompson,m,03 9137 0330,jflores@example.org
2022-05-23,1,573.0,305,2 out of 24,sydney,unfurnished,bachelors/family,1,contact agent,flat 94,434,christine mount,basin,nan,darrell,rice,u,0402 291 747,jeffrey81@example.net
2022-06-04,1,564.0,480,4 out of 4,sydney,unfurnished,bachelors/family,1,contact owner,8/,1,smith broadway,rotary,mrs.,melissa,coleman,f,9589 5086,usmith@example.org
2022-06-23,1,590.0,450,2 out of 3,sydney,unfurnished,family,1,contact agent,suite 823,37,corey street,bend,mr.,daniel,williams,m,7884.4226,joan92@example.com
2022-06-23,1,577.0,340,1 out of 8,sydney,semi-furnished,bachelors/family,1,contact owner,918/,32,sanchez loop,street,dr.,michael,foster,m,07-8646-7937,lfranco@example.org
2022-05-26,1,594.0,430,14 out of 23,sydney,semi-furnished,bachelors/family,2,contact agent,09/,213,edward gap,pathway,nan,curtis,cisneros,u,(02).0411.6304,tbell@example.com
2022-05-31,2,613.0,722,4 out of 7,sydney,unfurnished,bachelors/family,2,contact agent,8/,660,patel mew,frontage,nan,brian,potter,u,3622-1254,cameronharrison@example.org
2022-04-28,1,587.0,641,3 out of 8,sydney,unfurnished,bachelors/family,1,contact owner,apt. 479,38,harding artery,crescent,miss,suzanne,hernandez,f,(03)26725476,nsmith@example.com
2022-05-04,2,581.0,700,8 out of 22,sydney,unfurnished,family,2,contact owner,774/,67,barbara gardens,tollway,nan,jessica,nelson,u,0488 5456,pphelps@example.com
2022-06-15,1,600.0,420,ground out of 3,sydney,semi-furnished,bachelors/family,1,contact owner,5/,2,king expressway,lookout,dr.,michael,baker,m,9507.2006,sanchezmichelle@example.net
2022-06-20,1,613.0,480,7 out of 7,sydney,furnished,bachelors/family,2,contact agent,level 9,102,michael gully,vale,miss,lisa,rodriguez,f,(07)-3342-9041,mgarcia@example.com
2022-06-17,1,604.0,550,6 out of 10,sydney,unfurnished,bachelors,2,contact agent,flat 53,39,dixon brow,ring,dr.,michelle,gross,f,0465 702 603,marissa10@example.net
2022-05-27,1,583.0,400,8 out of 22,sydney,unfurnished,bachelors/family,1,contact owner,apt. 399,2,joe path,junction,nan,aaron,petersen,u,+61286448918,wangjacob@example.org
2022-05-27,2,606.0,800,1 out of 3,sydney,semi-furnished,bachelors/family,2,contact owner,398/,0,miller highroad,break,mrs.,brandy,moreno,f,03-9992-4050,michelle90@example.com
2022-06-23,2,569.0,800,3 out of 4,brisbane,semi-furnished,bachelors/family,2,contact owner,9/,2,blair link,distributor,mr.,emily,jamieson,m,+61-7-4192-1619,satkinson@example.com
2022-06-04,2,577.0,1040,4 out of 4,brisbane,furnished,bachelors/family,2,contact owner,362/,72,krystal reach,access,mr.,daniel,price,m,+61.457.821.246,ebenson@example.com
2022-06-04,3,582.0,1403,1 out of 4,brisbane,semi-furnished,bachelors/family,3,contact owner,4/,406,jimenez junction,dell,nan,alexis,smith,u,07.3499.6454,kathleenreynolds@example.com
2022-06-04,2,568.0,600,3 out of 4,brisbane,furnished,bachelors/family,1,contact owner,55/,32,bradley close,laneway,mr.,alan,williams,m,42745368,angelacarr@example.org
2022-05-11,2,572.0,850,1 out of 3,brisbane,semi-furnished,family,2,contact agent,unit 51,664,walker approach,frontage,mrs.,tami,garcia,f,07.3204.2724,timothysolis@example.org
2022-06-04,1,565.0,400,1 out of 2,brisbane,unfurnished,bachelors/family,1,contact owner,suite 256,41,parker copse,estate,nan,lakshit,sastry,u,+61-418-868-677,kennethwilcox@example.com
2022-06-04,2,577.0,1000,3 out of 4,brisbane,semi-furnished,bachelors/family,2,contact owner,318/,9,harper dell,dale,mr.,michael,rice,m,+61 415 054 572,uestrada@example.org
2022-06-23,3,587.0,1350,5 out of 14,brisbane,semi-furnished,bachelors,3,contact owner,flat 87,4,brian subway,glen,nan,angela,williams,u,8664.4449,george73@example.org
2022-05-10,2,569.0,800,1 out of 2,brisbane,semi-furnished,bachelors/family,2,contact owner,unit 10,1,jennifer path,avenue,nan,timothy,ayala,u,02-1654-2668,jeffersonwilliam@example.com
2022-05-04,1,565.0,350,3 out of 3,brisbane,semi-furnished,bachelors/family,1,contact owner,apt. 404,0,eric courtyard,piazza,mr.,donald,thomas,m,(07) 8065 5961,eschmidt@example.org
2022-06-16,2,572.0,700,ground out of 1,brisbane,semi-furnished,bachelors/family,1,contact owner,8/,3,sheila siding,intersection,dr.,jeffrey,kidd,m,+61-491-464-436,tiffanymclaughlin@example.org
2022-06-02,1,574.0,600,2 out of 4,brisbane,semi-furnished,bachelors,1,contact agent,level 7,20,marquez front,pathway,nan,adam,young,u,2836 9915,emilypetersen@example.net
2022-05-10,2,574.0,1400,ground out of 1,brisbane,furnished,bachelors/family,3,contact owner,apt. 408,124,melanie close,formation,nan,jessica,wright,u,+61-8-7263-1115,julie13@example.net
2022-05-10,1,564.0,600,ground out of 3,brisbane,unfurnished,bachelors/family,1,contact owner,flat 29,87,white vale,gardens,dr.,scott,santiago,m,0860174805,jackhammond@example.net
2022-06-25,2,577.0,900,1 out of 2,brisbane,semi-furnished,family,2,contact owner,unit 56,548,james junction,walk,nan,jeff,morrow,u,+61.7.7212.6618,margaret76@example.com
2022-06-23,1,565.0,500,ground out of 3,brisbane,furnished,bachelors/family,1,contact owner,unit 58,170,davis slope,corner,mr.,nathan,gomez,m,+61.8.1298.4675,april33@example.net
2022-04-28,3,587.0,1260,ground out of 2,brisbane,furnished,bachelors/family,3,contact owner,flat 41,4,kim entrance,beach,mr.,zachary,mullins,m,0807595250,jillmason@example.com
2022-05-24,1,574.0,600,1 out of 3,brisbane,semi-furnished,bachelors,1,contact agent,unit 90,675,nichole estate,dip,nan,kaitlyn,rodriguez,u,(03).1733.3700,tinahenderson@example.com
2022-06-20,1,561.0,450,ground out of 3,brisbane,semi-furnished,bachelors/family,1,contact owner,apt. 583,3,ballard artery,parklands,nan,monica,cruz,u,08-4545-1094,owenstaylor@example.org
2022-06-13,2,576.0,600,1 out of 2,brisbane,unfurnished,bachelors,2,contact owner,apt. 897,2,lee garden,rise,dr.,terence,mcmahon,m,+61 7 9823 0303,figueroabenjamin@example.com
2022-06-04,1,564.0,400,ground out of 2,brisbane,unfurnished,bachelors/family,1,contact owner,219/,18,hoover grange,block,nan,james,vasquez,u,6890 0669,alvaradorita@example.org
2022-06-20,2,571.0,900,ground out of 3,brisbane,furnished,bachelors/family,2,contact owner,unit 76,4,phyllis slope,parklands,dr.,matthew,thompson,m,1258.6683,stephen39@example.com
2022-06-08,2,568.0,1200,ground out of 4,brisbane,semi-furnished,bachelors/family,1,contact owner,123/,2,benson flat,steps,dr.,juan,hill,m,0400.635.425,wjohnston@example.com
2022-05-04,2,578.0,1045,1 out of 2,brisbane,semi-furnished,bachelors,2,contact owner,level 1,403,tonya point,lees,mr.,anthony,swanson,m,(02)-7130-1394,yoderjanet@example.org
2022-05-02,3,591.0,1021,10 out of 10,brisbane,furnished,bachelors,3,contact owner,55/,4,flores quad,alley,dr.,denise,lawrence,f,+61.3.3038.9967,thomasjason@example.com
2022-05-23,2,572.0,1000,1 out of 3,brisbane,unfurnished,bachelors/family,1,contact owner,level 0,9,henderson lees,quad,dr.,sandile,mlotshwa,m,0486.834.553,victoria01@example.org
2022-06-21,1,564.0,450,1 out of 2,brisbane,semi-furnished,bachelors/family,1,contact owner,49/,85,amy distributor,follow,dr.,anthony,williams,m,(02)64147024,nkaufman@example.net
2022-06-14,2,594.0,450,2 out of 3,brisbane,unfurnished,bachelors/family,2,contact owner,flat 60,479,zachary follow,quad,mr.,christian,ross,m,+61-468-304-325,jason94@example.org
2022-06-08,1,568.0,600,3 out of 4,brisbane,semi-furnished,bachelors/family,2,contact owner,unit 67,41,ramirez service way,rest,mr.,christopher,foster,m,+61-410-382-986,mlindsey@example.net
2022-05-04,2,574.0,800,2 out of 3,brisbane,semi-furnished,bachelors/family,2,contact owner,apt. 249,223,daniel quay,alleyway,mrs.,erica,roberts,f,0335532185,gutierrezariel@example.net
2022-06-04,1,565.0,500,2 out of 4,brisbane,unfurnished,bachelors/family,1,contact owner,level 6,9,natalie route,esplanade,nan,barbara,alvarado,u,2427 0729,terri87@example.org
2022-06-20,1,567.0,800,2 out of 3,brisbane,unfurnished,bachelors/family,1,contact owner,apt. 497,72,mark cul-de-sac,right of way,nan,ahana,nan,u,+61.3.0742.1270,aaron79@example.net
2022-06-20,2,585.0,1100,2 out of 3,brisbane,semi-furnished,family,2,contact owner,2/,2,marcus foreshore,heights,nan,chelsea,bailey,u,0448 587 314,mrodriguez@example.com
2022-06-20,2,594.0,1200,3 out of 4,brisbane,semi-furnished,bachelors/family,2,contact owner,apt. 322,365,stacy ridgeway,track,nan,joseph,lopez,u,0401-569-750,omar96@example.org
2022-05-27,1,565.0,500,2 out of 3,brisbane,unfurnished,bachelors/family,1,contact owner,37/,3,jordan courtyard,heights,nan,dr.,amy,u,(02)54364882,llee@example.org
2022-06-21,1,565.0,440,3 out of 4,brisbane,semi-furnished,bachelors/family,1,contact owner,694/,55,david vale,centreway,mrs.,taylor,smith,f,+61 7 2460 4603,gwhite@example.org
2022-05-18,2,581.0,1040,1 out of 7,brisbane,semi-furnished,bachelors/family,2,contact agent,level 7,19,francis interchange,anchorage,mr.,robert,fletcher,m,(03)-6574-2190,jaimehart@example.com
2022-06-08,2,577.0,1000,2 out of 4,brisbane,semi-furnished,bachelors/family,2,contact owner,2/,94,jose service way,circle,dr.,kara,hughes,f,+61-2-6893-5427,larsonjames@example.org
2022-05-26,1,563.0,400,4 out of 5,brisbane,semi-furnished,bachelors/family,1,contact owner,suite 660,27,nicholas bridge,anchorage,mr.,trevor,powell,m,0251253902,ncrawford@example.net
2022-06-16,2,576.0,950,1 out of 1,brisbane,furnished,bachelors/family,3,contact owner,apt. 533,38,ann view,outlook,dr.,debbie,gonzalez,f,4736 9190,uheath@example.com
2022-06-07,2,567.0,530,1 out of 3,brisbane,semi-furnished,bachelors/family,1,contact owner,4/,3,brian distributor,corner,nan,john,hill,u,+61-7-7079-2912,angelaingram@example.org
2022-06-16,1,565.0,300,ground out of 2,brisbane,unfurnished,bachelors/family,1,contact owner,apt. 649,32,tiffany alley,highway,mr.,rodney,francis,m,03 0300 5651,blackkeith@example.org
2022-06-22,2,574.0,1000,ground out of 3,brisbane,semi-furnished,bachelors/family,2,contact owner,apt. 683,448,karla freeway,top,nan,deborah,little,u,+61 3 1892 5007,mark78@example.net
2022-05-23,1,571.0,450,3 out of 3,brisbane,unfurnished,bachelors/family,1,contact owner,23/,85,caleb circus,circus,dr.,elizabeth,watson,f,0487-568-677,obrienkent@example.com
2022-06-06,1,568.0,600,ground out of 1,brisbane,semi-furnished,bachelors,1,contact owner,unit 41,1,walker court,villas,mr.,jason,kane,m,(02)-6593-6815,gregorythomas@example.org
2022-06-23,2,576.0,1100,2 out of 4,brisbane,unfurnished,bachelors/family,2,contact owner,apt. 893,4,emily elbow,crossroad,dr.,sarah,smith,f,(08)71947196,jennifer43@example.com
2022-06-20,2,574.0,850,2 out of 4,brisbane,semi-furnished,bachelors/family,2,contact owner,206/,440,clark riverway,retreat,dr.,philip,campos,m,+61 2 8460 5867,fmalone@example.com
2022-05-23,1,560.0,650,1 out of 2,brisbane,unfurnished,bachelors/family,1,contact owner,93/,110,alyssa link,outlook,ms.,lori,evans,f,+61-8-2394-4103,carol78@example.org
2022-05-23,2,571.0,1200,ground out of 2,brisbane,unfurnished,bachelors/family,2,contact owner,1/,22,sara track,route,mr.,cory,young,m,07-1935-4115,wilsonalicia@example.net
2022-06-26,1,567.0,400,2 out of 4,brisbane,semi-furnished,bachelors/family,1,contact owner,72/,401,garrett extension,parade,mr.,raymond,brown,m,0450-430-506,stonesamantha@example.net
2022-05-06,2,569.0,1100,ground out of 1,brisbane,semi-furnished,bachelors/family,2,contact owner,apt. 518,84,james heights,terrace,nan,roberta,martin,u,0372025205,jacksonbrian@example.net
2022-05-29,2,571.0,900,1 out of 5,brisbane,unfurnished,bachelors,2,contact owner,level 5,81,daniel terrace,walk,miss,katherine,davis,f,03-0447-3653,robert72@example.com
2022-06-12,3,596.0,1300,2 out of 4,brisbane,semi-furnished,bachelors/family,2,contact owner,flat 97,10,wendy cruiseway,concourse,dr.,connor,kelly,m,+61.477.532.872,brownpeter@example.net
2022-06-24,3,582.0,1000,1 out of 2,brisbane,furnished,bachelors/family,3,contact owner,apt. 112,424,sanchez arcade,mews,dr.,chelsey,munoz,f,36746798,kanemichelle@example.com
2022-06-06,2,571.0,900,ground out of 1,brisbane,unfurnished,bachelors/family,2,contact agent,unit 24,89,bates point,close,nan,chad,bryan,u,07.9368.8216,daniel78@example.com
2022-06-06,1,564.0,800,1 out of 1,brisbane,unfurnished,bachelors/family,1,contact agent,460/,10,barbara round,meander,ms.,brooke,gibson,f,(02)00544655,zacharyrobinson@example.net
2022-05-12,2,574.0,750,1 out of 3,brisbane,unfurnished,bachelors/family,2,contact owner,apt. 996,0,fischer ring,frontage,mr.,anya,grover,m,03 1184 7038,joshua05@example.net
2022-05-10,2,570.0,1100,2 out of 5,brisbane,unfurnished,bachelors,2,contact owner,flat 96,73,palmer vale,part,mrs.,sarah,ruiz,f,(08)-1003-0721,khouse@example.com
2022-04-28,2,574.0,1200,1 out of 3,brisbane,semi-furnished,bachelors/family,2,contact owner,8/,2,maria crossway,path,mr.,robert,erickson,m,(02)05445258,petersontimothy@example.net
